curso|tipo|texto
10|1|El 6 de agosto del 2012, aterrizó en la superficie de Marte la misión Mars Science Laboratory, conocida como Curiosity. El vehículo robotizado y desarrollado por la NASA se encuentra estudiando la superficie marciana. Los objetivos de la misión son analizar posibles manifestaciones de vida en el planeta, así como sus condiciones de habitabilidad para la futura llegada del ser humano y el establecimiento en una base. Para el aterrizaje, se eligió una zona de una superficie de unos 500 km2, ubicada dentro de un cráter, donde se piensa que podría haber existido un antiguo océano, por lo que es de especial interés para el objetivo de la misión. El descenso del Curiosity debía tardar aproximadamente siete minutos, y para que resultara exitoso las etapas del aterrizaje debieron ser planeadas segundo a segundo, tal como se describe a continuación. Durante los primeros cuatro minutos, luego de la entrada de la cápsula a la atmósfera marciana, se experimentó la primera y mayor desaceleración, producto del roce con la atmósfera, lo que también generó que la coraza protectora de la cápsula alcanzara una temperatura cercana a 900 °C. Como la atmósfera de Marte es 100 veces menos densa que la de la Tierra, la cápsula fue desacelerada solo a 1600 km/h. Durante los dos minutos siguientes, para disminuir aún más la velocidad, se utilizó un paracaídas supersónico. El roce del paracaídas con la atmósfera de Marte logró que la velocidad de la nave disminuyera a 320 km/h.
10|1|La resistencia humana a las grandes aceleraciones es generalmente medida en fuerzas G y el límite humano está determinado por la resistencia del cerebro y otros tejidos blandos a las aceleraciones o desaceleraciones bruscas. Si bien hay personas que pueden desmayarse en una montaña rusa, siendo sometidas a alrededor de 3 o 4 G, hay otras, como el coronel John Stapp, que soportó decenas de fuerzas G durante cortos períodos de tiempo, aunque con graves riesgos para su integridad física. John Stapp era un doctor militar que estaba tan interesado en averiguar los límites humanos que puso en riesgo varias veces su vida al realizar misiones prácticamente suicidas en nombre de la ciencia. Uno de sus experimentos fue probar los efectos de las desaceleraciones repentinas en el cuerpo humano, su objetivo era encontrar métodos para mantener a los pilotos con vida en caso de que se estrellaran. La ciencia fijaba el límite humano en 18 G, pero esto nunca había sido probado rigurosamente. El 30 de abril de 1947 Stapp puso a prueba un desacelerador humano similar a las que se realizan actualmente en automóviles. Después de varias pruebas con un muñeco de seguridad, Stapp decidió ser él quien experimentara la desaceleración. Para junio de 1951, había realizado decenas de pruebas, sufriendo varias fracturas. En 1954, durante su prueba más extrema, desaceleró desde los 1 017 km/h a 0 km/h en 1,4 s, soportando 43 veces su propio peso, es decir 43 G.
6|1|Es un proceso en el que se talan grandes superficies de bosques naturales o plantaciones de árboles. Esta tala la realiza principalmente la industria maderera para la fabricación del papel y otros productos. También se lleva a cabo para el uso de suelo por parte de la industria agrícola, minera y ganadera. Talar árboles sin contar con un plan adecuado de reforestación provoca serios daños y desequilibrios en los ecosistemas. Si se erosiona o degrada el suelo de las plantaciones, se dificulta su posterior reutilización, ya que deja de ser fértil. En los bosques habitan muchos seres vivos, por lo tanto, al talar los árboles se daña a toda la biodiversidad que puebla en esos ecosistemas. Sobreexplotación y extinción de especies Desde los inicios de la humanidad, los seres humanos se han alimentado de animales, utilizándolos como fuente de nutrientes, además de cazarlos para hacer uso de su piel y su grasa. Hoy en día, y a nivel mundial, la sobreexplotación ha tenido consecuencias negativas en grandes grupos de animales. En Chile, en lo que se refiere a los animales marinos, este problema ha afectado principalmente a invertebrados como los erizos, las almejas, los locos y las machas; a peces como la anchoveta, la merluza y el jurel, y a mamíferos como los lobos marinos y las ballenas. Todos han sido objeto de pesca y caza indiscriminadas. Es fundamental la regulación de esta práctica a nivel industrial para permitir la recuperación de las poblaciones naturales y de esa forma no afectar las interacciones que se producen entre los seres vivos de las tramas alimentarias. Es difícil prever las consecuencias si se mantienen el ritmo de pérdida de especies y de daño de los ecosistemas del mundo. Lo que sí sabemos es que estas extinciones traerán consigo una disminución en la diversidad de los seres vivos y una alteración en los ecosistemas producto de su ausencia.
6|1|¿En qué zonas de Chile vives? ¿Cómo son los suelos de tu región? ¿Crees que todos los suelos del país son iguales? Gracias a su ubicación y su extensión, Chile cuenta con una amplia variedad de suelos, los cuales están definidos por las distintas condiciones que presentan las regiones. De manera muy general, podemos clasificar los suelos en tres grandes grupos. En la zona norte de Chile, que se caracteriza por la presencia climas áridos, encontramos suelos áridos y semiáridos. En general, corresponden a suelos delgados, poco profundos, de textura gruesa, que contienen principalmente arena. Se caracterizan por la escasez de humedad y, por lo tanto, son poco fértiles, lo cual los hace poco productivos para el trabajo agrícola. Posee una vegetación de bofedales y pastos duros, cactus. Además, es posible encontrar oasis, donde la vegetación es más diversa y abundante, por ejemplo, el oasis donde se ubica el pueblo de Pica, famoso por sus limones. En la zona centro de Chile, que se caracteriza por sus climas templados, encontramos suelos moderadamente profundos, de textura mediana, cuyo componente principal es el limo y que tienen buena permeabilidad del agua debido a su textura. Poseen un alto contenido de materia orgánica y, por lo tanto, son muy fértiles para el trabajo agrícola. Hay sectores en que los suelos derivan de materiales calcáreos.
8|1|Diariamente en el mundo se producen unas 44.000 tormentas y se generan más de 8.000.000 de rayos, según el sistema de detección mundial de meteorología. Casi todas las descargas naturales se inician en el interior de las nubes y progresan en forma de árbol de diferentes ramas, unas se compensan con cargas negativas y otras con cargas positivas; en su trayectoria transportan corrientes eléctricas que pueden llegar como término medio a 30.000 Amperios y a valores máximos superiores a los 300 000 Amperios durante millonésimas de segundo, calentando el aire que está inmediatamente a su alrededor a temperaturas que pueden superar los 8.000 grados Celcius. Considerando estos datos, no hay duda del gran peligro que llevan asociados los rayos por los efectos destructivos de su impacto directo o indirecto; es por esto que fue necesario crear sistemas de seguridad: los pararrayos. El rayo es la reacción eléctrica causada por la saturación de cargas electroestáticas generadas y acumuladas progresivamente durante una tormenta. En fracciones de segundos la energía electroestática acumulada se convierte en energía electromagnética, manifestada en el relámpago, en energía acústica, manifestada en el trueno y, finalmente, en calor.
8|1|¿Alguna vez, al sacarte el chaleco o un polar, has sentido sonidos acompañados de chispazos? ¿O al tocar a una persona, que dice “me dio la corriente”? Estos fenómenos tienen su origen en la electricidad estática, que es la acumulación de cargas eléctricas en un cuerpo u objeto, lo que puede ocasionar una descarga eléctrica cuando se pone en contacto con otro. La descarga se producirá hasta que los cuerpos recuperen el equilibrio eléctrico, es decir, tengan la misma cantidad de cargas positivas y negativas. Por ejemplo, el caso del chaleco se debe al frotamiento de la persona con la ropa, siendo el aire el medio que produce un exceso de carga que, si se dan las condiciones, genera una pequeña descarga eléctrica. ¿El aire es un buen conductor eléctrico? Solo será un buen conductor si hay una mayor acumulación de cargas eléctricas, así se carga de iones, transmitiendo esa carga por medio de un arco eléctrico producido por una diferencia de potencial, provocando descargas eléctricas como los relámpagos. ¿Qué son las conexiones a tierra? En la actividad de inicio tuviste que frotar una regla plástica y acercarla al agua, y en este caso, el agua se movía hacia a la regla. Si ahora usaras una regla metálica verías que el agua no se desplaza hacia la regla, lo que no significa necesariamente que el metal no adquiera carga eléctrica, sino que, como nuestro cuerpo también es conductor de la electricidad, las cargas pasaran a él y luego llegarán al suelo. Esto se conoce como “conexión a tierra”.
6|1|Es probable que hayas escuchado en algún medio de comunicación que las pantallas de los artículos de uso cotidiano, como relojes, calculadoras, televisores, computadoras y celulares están fabricadas de un material llamado “cristal líquido”. Los cristales líquidos son considerados como materiales “de estado intermedio” debido a que comparten las propiedades tanto de un sólido como de un líquido. Un grupo de investigadores del Departamento de Física de la Universidad de Chile se ha dedicado a estudiar las propiedades ópticas de los cristales líquidos. Uno de sus objetivos consistió en el análisis del comportamiento de los cristales líquidos frente a la luz, descubriendo que en la estructura de estos existen áreas libres, llamadas “zonas de transparencia”, las cuales cambian a medida que se modifica la forma y el tipo de luz incidente sobre el material. Los investigadores sostienen que este tipo de material es ideal para la fabricación de objetos en los cuales se debe controlar el paso de la luz, como los monitores de pantalla plana o las ventanas de aviones. Otra aplicación, aún poco conocida de los cristales líquidos, se produce en el campo de la medicina debido a su sensibilidad frente a los cambios de temperatura. Los termómetros de cristal líquido son altamente confiables, ya que el tiempo de respuesta del cristal es mucho más rápido que el de los termómetros convencionales (mercurio y alcohol), que requieren de varios minutos. Además, su precisión es aproximadamente de 0,3ºC.
12|1|Una situación especial es la incompatibilidad sanguínea durante el embarazo. Para entenderla, se debe considerar que la herencia del factor Rh sigue un patrón mendeliano, en que la condición Rh+ domina sobre la Rh-. Sucede cuando una madre Rh- gesta un hijo Rh+. En estos casos, durante el embarazo, principalmente en los últimos meses en que parte de los glóbulos rojos del feto pueden pasar a la circulación materna por pequeños defectos de la membrana placentaria, o en el momento del parto, cuando la sangre materna y la fetal se mezclan, existe la posibilidad de que la madre se inmunice, a causa del factor Rh presente en los eritrocitos fetales y ausente en los de la madre, lo que determina la producción de anticuerpos anti factor Rh. Los anticuerpos anti Rh producidos por la madre pueden atravesar la placenta y destruir los glóbulos rojos del feto. El desenlace de esta situación puede ser fatal, incluso poco antes del nacimiento o tiempo después de ocurrido este. Este problema se conoce como eritroblastosis fetal o anemia hemolítica del recién nacido. El riesgo de esta condición de incompatibilidad materno-fetal aumenta en los próximos embarazos, si es que los nuevos hijos también son Rh+. Esto se debe a que la madre ha producido anticuerpos contra el factor Rh, los que pueden cruzar la placenta y destruir los glóbulos rojos del siguiente hijo, e incluso desencadenar una respuesta inmune más intensa
12|1|El análisis de experimentos clásicos es una práctica interesante, entre otros aspectos, porque ayuda a aprender a hablar y escribir sobre ciencia, ya que se ejercita el planteamiento de preguntas, hipótesis, diseño de procesos, inferir, explicar relaciones, entre otras. Antecedentes La teoría de la selección clonal, propuesta por Frank Macfarlane Burnet y David Talmage, intenta explicar el problema de la formación de anticuerpos y su diversidad. Postula la presencia de una gran cantidad de receptores antigénicos preexistentes y originados al azar en ausencia del antígeno. Tras el ingreso de un antígeno, la célula portadora del receptor adecuado comenzaría a reproducirse, formando múltiples copias de sí misma o clones. Las proteínas receptoras, al ser secretadas por las células, constituirían los anticuerpos que se encuentran en circulación. Tras los experimentos iniciales de Gustav Nossal y Joshua Lederberg, otros investigadores reafirmaron de manera experimental la teoría. En 1969, los inmunólogos australianos G.L. Ada y Pauline Byrt realizaron un experimento para poner a prueba la teoría de la selección clonal. El antígeno que usaron fue la proteína flagelina, un Pamps (antígenos) extraído del flagelo de una cepa de la bacteria Salmonella adelaide (antígeno A en el esquema). Los investigadores marcaron el antígeno con el isótopo 125I, haciéndolo altamente radiactivo. Como control, usaron una preparación de flagelina aislada de una cepa distinta de Salmonella (antígeno B).
4|1|Aunque Puerto Saavedra fue devastado por el tsunami del 22 de mayo de 1960, tras el terremoto más grande de la historia mundial: el terremoto de Valdivia de magnitud 9,5 en la escala de Ritcher, muy pocas personas murieron gracias a los avisos de la naturaleza y a la tradición oral. Martín Huaracán, recuerda claramente que el primer aviso que recibió fue un fuerte temblor en la madrugada del día anterior. Durante todo ese día siguió temblado intermitentemente hasta que el domingo 22 en la tarde ocurrió el gran terremoto. La tierra ondulaba, la gente no podía mantenerse en pie, los cercos, los animales, todo se caía. Don Martín trató de afirmarse en un cerco, pero decidió que lo mejor era permanecer tirado en el suelo. Luego, el río dio la segunda advertencia. Sus aguas comenzaron a recogerse extraordinariamente. El tercer aviso que recibió Don Martín fue el recogimiento del agua del mar. La cuarta y última advertencia la recibió de unos vecinos ancianos que, por lo que habían escuchado de sus antepasados, sabían que debían dirigirse a los cerros después de las tres advertencias anteriores. Así Don Martín decidió dirigirse prontamente a un sector alto. Desde lo alto de los cerros, Don Martín junto a cientos de sobrevivientes pudo observar a salvo cómo las olas del tsunami barrían con el pueblo.
